Location,Address,Full Address,City,City Name,Latitude,Latitude Value,Longitude,Longitude Value,Labels,Label 1,Label 2,Label 3,Label 4,Full Labels,Coupon,Coupon String
Location,Address,153 Massachusetts Ave,City, Boston,Latitude,42.346557,Longitude,-71.087313,Labels,Dunkin, Dunkin Donuts, Donuts, Coffee,"[""Dunkin"","" Dunkin Donuts"","" Donuts"","" Coffee""]",Coupon,50% with $1 to Covid-19 Efforts
Location,Address,2 City Hall Sq,City, Boston,Latitude,42.358863,Longitude,-71.059675,Labels,Dunkin, Dunkin Donuts, Donuts, Coffee,"[""Dunkin"","" Dunkin Donuts"","" Donuts"","" Coffee""]",Coupon,$2 Latte 2-6 pm
Location,Address,106 Cambridge St,City, Boston,Latitude,42.361055,Longitude,-71.063072,Labels,Dunkin, Dunkin Donuts, Donuts, Coffee,"[""Dunkin"","" Dunkin Donuts"","" Donuts"","" Coffee""]",Coupon,$2 Latte 2-6 pm
Location,Address,70 E India Row,City, Boston,Latitude,42.358424,Longitude,-71.051296,Labels,Dunkin, Dunkin Donuts, Donuts, Coffee,"[""Dunkin"","" Dunkin Donuts"","" Donuts"","" Coffee""]",Coupon,50% with $1 to Covid-19 Efforts
Location,Address,145 Dartmouth St,City, Boston,Latitude,42.347348,Longitude,-71.075886,Labels,Dunkin, Dunkin Donuts, Donuts, Coffee,"[""Dunkin"","" Dunkin Donuts"","" Donuts"","" Coffee""]",Coupon,50% with $1 to Covid-19 Efforts
Location,Address,235 Washington St,City, Boston,Latitude,42.358146,Longitude,-71.057964,Labels,Dunkin, Dunkin Donuts, Donuts, Coffee,"[""Dunkin"","" Dunkin Donuts"","" Donuts"","" Coffee""]",Coupon,50% with $1 to Covid-19 Efforts
Location,Address,100 Terminal Rd,City, East Boston,Latitude,42.347702,Longitude,-71.035737,Labels,Dunkin, Dunkin Donuts, Donuts, Coffee,"[""Dunkin"","" Dunkin Donuts"","" Donuts"","" Coffee""]",Coupon,50% with $1 to Covid-19 Efforts
Location,Address,200 Terminal Rd,City, East Boston,Latitude,42.36128,Longitude,-71.01787,Labels,Dunkin, Dunkin Donuts, Donuts, Coffee,"[""Dunkin"","" Dunkin Donuts"","" Donuts"","" Coffee""]",Coupon,$2 Latte 2-6 pm
Location,Address,200 Terminal Rd,City, East Boston,Latitude,42.3635,Longitude,-71.0187,Labels,Dunkin, Dunkin Donuts, Donuts, Coffee,"[""Dunkin"","" Dunkin Donuts"","" Donuts"","" Coffee""]",Coupon,$2 Latte 2-6 pm
Location,Address,1631 Tremont St,City, Boston,Latitude,42.333914,Longitude,-71.103773,Labels,Dunkin, Dunkin Donuts, Donuts, Coffee,"[""Dunkin"","" Dunkin Donuts"","" Donuts"","" Coffee""]",Coupon,$2 Latte 2-6 pm
Location,Address,8 Park Plz,City, Boston,Latitude,42.351335,Longitude,-71.066089,Labels,Dunkin, Dunkin Donuts, Donuts, Coffee,"[""Dunkin"","" Dunkin Donuts"","" Donuts"","" Coffee""]",Coupon,50% with $1 to Covid-19 Efforts
Location,Address,482 W Broadway,City, Boston,Latitude,42.335601,Longitude,-71.045613,Labels,Dunkin, Dunkin Donuts, Donuts, Coffee,"[""Dunkin"","" Dunkin Donuts"","" Donuts"","" Coffee""]",Coupon,50% with $1 to Covid-19 Efforts
